city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;19December;20December;21December;22December;23December;24December;25December;26December;27December;28December;29December;30December;31December;
Кам'янське;4853460;Оксид азоту;null;null;null;null;null;null;null;null;0,044266667;0,05095;0,028;0,0292;0,040375;0,0327;null;0,0406;0,0345;0,040375;0,054925;0,054575;0,05015;null;0,059366667;0,064225;0,065175;0,08025;0,058325;0,047625;null;0,0588;0,048175;
Кам'янське;4853460;Сiрководень;null;0,0036;0,003757143;0,004528571;0,003914286;0,003542857;0,003771429;null;0,004172727;0,00372;0,00342;0,003053333;0,003873333;0,00226;null;0,004563636;0,003973333;0,004106667;0,0042;0,004486667;0,004546667;null;0,003654545;0,003326667;0,004493333;0,004107143;0,004307143;0,003764286;null;0,00445;0,004207143;
Кам'янське;4853460;Фенол;null;0,004516667;0,0049625;0,0054875;0,0045375;0,0028125;0,0044875;null;0,004591667;0,00335625;0,00486875;0,0046875;0,0043;0,0028625;null;0,00395;0,00396875;0,0036375;0,0043125;0,00553125;0,0047625;null;0,004366667;0,0036625;0,0044;0,00489375;0,00468125;0,0045625;null;0,003792857;0,0042875;
Кам'янське;4853460;Амiак;null;0,041;0,03895;0,050675;0,0426;0,043125;0,04335;null;0,0456125;0,035225;0,044125;0,041575;0,0373625;0,029675;null;0,029975;0,037225;0,0440125;0,039475;0,0458125;0,042;null;0,041625;0,0462125;0,0457625;0,0443625;0,045425;0,0445125;null;0,04705;0,039725;
Кам'янське;4853460;Формальдегiд;null;0,008725;0,0098;0,0098;0,0095;0,009725;0,009125;null;0,01055;0,0083;0,0089625;0,0103875;0,0071375;0,005825;null;0,006525;0,00565;0,007725;0,0083625;0,011075;0,0097375;null;0,0092125;0,011625;0,00825;0,00905;0,0085875;0,00785;null;0,0072;0,008875;
Кропивницький;4853220;Завислі речовини;null;0,2;0,15;0,133333333;0,166666667;0,15;0,216666667;null;0,166666667;0,233333333;0,166666667;0,166666667;0,2;0,183333333;null;0,2;0,166666667;0,133333333;0,166666667;0,133333333;0,133333333;null;0,15;0,133333333;0,2;0,183333333;0,183333333;0,166666667;null;0,15;0,166666667;
Кропивницький;4853220;Дiоксид сiрки;null;0,0191;0,015983333;0,015775;0,018975;0,016475;0,024833333;null;0,020611111;0,018833333;0,022158333;0,019916667;0,018725;0,020508333;null;0,0175;0,0191;0,014933333;0,023691667;0,021116667;0,015783333;null;0,0196;0,022708333;0,015116667;0,018041667;0,015383333;0,022775;null;0,013244444;0,018583333;
Кропивницький;4853220;Сульфати;null;0;0,005;0,01;0,01;0,005;0,005;null;0;0,01;0,005;0,01;0,005;0,01;null;0;0,01;0,005;0,01;0;0,01;null;0,01;0,005;0,01;0,005;0,005;0,01;null;0;0,005;
Кропивницький;4853220;Оксид вуглецю;null;2,166666667;1,333333333;1,333333333;1,333333333;1,5;1,333333333;null;1,666666667;1,666666667;1,666666667;1,666666667;2,5;1,5;null;2;1,5;1,333333333;1,5;1,5;1,666666667;null;1,5;1,5;2;1,5;1,833333333;2,333333333;null;2,333333333;1,666666667;
Кропивницький;4853220;Дiоксид азоту;null;0,026;0,032325;0,023658333;0,024841667;0,02725;0,023341667;null;0,029177778;0,027483333;0,027316667;0,030191667;0,028316667;0,033966667;null;0,030322222;0,02615;0,023075;0,032633333;0,024091667;0,02355;null;0,029788889;0,031316667;0,017258333;0,028016667;0,0348;0,026483333;null;0,023922222;0,032433333;
