city;coordinateNumber;nameImpurity;1April;2April;3April;4April;5April;6April;8April;9April;10April;11April;12April;13April;15April;16April;17April;18April;19April;20April;22April;23April;24April;25April;26April;27April;29April;30April
Черкаси;4933200;Сiрководень;0,001666667;0,001583333;0,00125;0,0015;0,002;0,001916667;0,001777778;0,001666667;0,001916667;0,001916667;0,002083333;0,001583333;0,001555556;0,001666667;0,0013;0,001;0,001;0,00075;0,000833333;0,00125;0,001125;0,001875;0,00175;0,001875;0,0015;0,001625
Черкаси;4933200;Амiак;0,053333333;0,039166667;0,051666667;0,050833333;0,0475;0,055;0,051111111;0,045833333;0,05;0,079166667;0,043333333;0,02975;0,024444444;0,033333333;0,058;0,04625;0,03125;0,035;0,02;0,04375;0,01875;0,0275;0,05625;0,06375;0,046666667;0,07375
Черкаси;4933200;Формальдегiд;0,007666667;0,00875;0,00525;0,00175;0,012;0,0095;0,031666667;0,031;0,01375;0,0325;0,01725;0,018;0,02;0,01875;0,01825;0,0085;0,00425;0,004;0,002333333;0,008;0,01975;0,0245;0,00875;0,005;0,013;0,00475
Чернівці;4832590;Завислі речовини;0,066666667;0,016666667;0;0;0,033333333;0,033333333;0,05;0,016666667;0,05;0,05;0,016666667;0,05;0,033333333;0,066666667;0,016666667;0;0,033333333;0,05;0,016666667;0,016666667;0;0;0;0;0;0
Чернівці;4832590;Дiоксид сiрки;0,001366667;0,00165;0,000583333;0,002366667;0,004291667;0,002208333;0,003541667;0,002075;0,001533333;0,002066667;0,002791667;0,003966667;0,003575;0,00195;0,003325;0,003466667;0,001725;0,000283333;0,001425;0,00115;0,0021;0,00157;0,002633333;0,003341667;0,004266667;0,000725
Чернівці;4832590;Оксид вуглецю;0,166666667;0;0;0;0;0,333333333;0;0;0;0;0;0,166666667;0;0,166666667;0;0;0;0,166666667;0;0;0;0;0;0;0;0,166666667
Чернівці;4832590;Дiоксид азоту;0,037808333;0,013;0,013958333;0,025016667;0,026283333;0,021741667;0,024466667;0,013016667;0,014241667;0,015341667;0,01555;0,016325;0,022908333;0,018925;0,0239;0,022766667;0,023766667;0,019558333;0,024708333;0,012041667;0,012636364;0,01984;0,017833333;0,0205;0,021633333;0,012183333
Чернівці;4832590;Оксид азоту;0,003625;0,001775;0,001375;0,01305;0,010875;0,00555;0,00135;0,0007;0,0021;0,0007;0,007475;0,005525;0,012375;0,0068;0,014225;0,024625;0,012175;0,016425;0,0121;0,0017;0,0168;0,00955;0,014775;0,010125;0,00035;0,001375
Чернівці;4832590;Фенол;0,003425;0,0038;0,002325;0,0016;0,0029;0,00005;0,0011;0,000175;0,002525;0,0016;0,001525;0,000375;0,00525;0;0,0017;0,0036;0,004425;0,0034;0,0023;0,00065;0,00275;0,003975;0,001875;0,0072;0,00195;0,0014
Чернівці;4832590;Фтористий водень;0,0003125;0;0;0,000125;0;0;0,0002875;0;0;0;0;0;0,0002375;0,0003875;0,0010625;0,000425;0;0;0;0;0,000114286;0;0;0;0;0
Чернівці;4832590;Хлористий водень;0,0547;0,08055;0,1114;0,11515;0,11505;0,03815;0,06025;0,2089;0,07095;0,06925;0,161325;0,07915;0,1235;0,11065;0,199125;0,08355;0,0795;0,014175;0,0077;0,1271;0,0792;0,1395;0,1162;0,014025;0,13755;0,06175
Чернівці;4832590;Формальдегiд;0,001525;0,001225;0,0009;0,00035;0;0;0,0011375;0,0007125;0,00125;0,0016375;0,0009875;0;0,002475;0,0021375;0,00125;0,0006375;0,0018875;0;0,0002625;0,0027;0,0017;0,00025;0;0;0,0004625;0,0008
Ізмаїл;4542880;Завислі речовини;0,05;0,095;0,065;0,07;0,05;0,05;0,05;0,005;0,05;0,03;0,1;0,085;0,095000153;0,065;0,080000153;0,085;0,03;0,05;0,085;0,05;0,085;0,05;0,1;0,05;0,130000305;0,13
Ізмаїл;4542880;Дiоксид сiрки;0,026566667;0,0233;0,025600035;0,024875031;0,018175023;0,017375;0,030566667;0,016525002;0,014275;0,021100031;0,022175008;0,02427504;0,02856674;0,02245004;0,014875;0,02065004;0,0256;0,01537502;0,023700053;0,02020004;0,019925;0,0215;0,02667504;0,022400047;0,020033362;0,029675031
Ізмаїл;4542880;Сульфати;0;0,01;0,005;0;0,005;0,005;0,005;0,005;0;0;0,01;0,01;0,01;0,005;0,005;0,005;0;0,005;0,015;0,005;0,01;0,005;0,01;0,005;0,015;0,01
