city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Кривий Ріг;4793340;Дiоксид сiрки;0,030692308;0,026692308;0,029384615;0,026769231;0,0339;0,027538462;0,022;0,026384615;0,024230769;0,035615385;0,0234;0,009692308;0,025230769;0,030153846;0,027230769;0,027461538;0,0275;0,032692308;0,031583333;0,022769231;0,019;0,026076923;0,0255;0,026846154;0,010538462;0,037923077;null
Кривий Ріг;4793340;Оксид вуглецю;1,3;1,4;1,3;1,3;1,3;1,3;1,2;1,3;1;1,5;1;1;0,9;1,2;1;1,2;1,3;1,1;1,4;1,4;1,2;1,2;1;1;1;2,1;null
Кривий Ріг;4793340;Дiоксид азоту;0,028461538;0,025384615;0,028461538;0,027692308;0,03;0,040769231;0,035384615;0,040769231;0,023076923;0,043076923;0,023;0,023076923;0,033076923;0,036923077;0,029230769;0,033846154;0,02;0,041538462;0,033333333;0,029230769;0,026923077;0,030769231;0,031;0,028461538;0,029230769;0,045384615;null
Кривий Ріг;4793340;Оксид азоту;0,016666667;0,01;0,016666667;0,016666667;0,01;0,023333333;0,023333333;0,02;0,013333333;0,02;0,015;0,01;0,01;0,01;0,016666667;0,023333333;0,015;0,016666667;0,015;0,01;0,013333333;0,02;0,015;0,013333333;0,013333333;0,023333333;null
Кривий Ріг;4793340;Сiрководень;0,0009;0,0013;0,0015;0,0012;0,0017;0,0009;0,0008;0,0012;0,001;0,0015;0,0005;0,001;0,0014;0,0013;0,001;0,0015;0,0004;0,0014;0,001333333;0,0012;0,001;0,0011;0,001;0,0011;0,001;0,0018;null
Кривий Ріг;4793340;Фенол;0,00135;0,0021;0,00275;0,0018;0,003066667;0,0023;0,00165;0,00245;0,0016;0,00235;0,001;0,00225;0,0024;0,0026;0,0021;0,0022;0,0008;0,00195;0,002526316;0,00195;0,0016;0,0022;0,002333333;0,00215;0,00195;0,0034;null
Кривий Ріг;4793340;Амiак;0,01;0,01;0,011;0,01;0,011333333;0,0095;0,0085;0,011;0,0095;0,0115;0,008;0,0095;0,009;0,0105;0,01;0,011;0,007333333;0,01;0,011578947;0,01;0,01;0,01;0,01;0,01;0,01;0,011;null
Кривий Ріг;4793340;Формальдегiд;0,0144;0,01555;0,01495;0,0149;0,012866667;0,0124;0,0108;0,0158;0,0149;0,01665;0,011733333;0,013;0,01035;0,017;0,01435;0,0149;0,0202;0,0162;0,014736842;0,0124;0,0122;0,0156;0,0124;0,01455;0,01115;0,0145;null
Кам'янське;4853460;Завислі речовини;0,306625;0,2783125;0,2534875;0,25265;0,3008125;0,368375;0,2722125;0,2986625;0,2965;0,2879875;0,116675;0,2198125;0,270125;0,2913875;0,261875;0,2565;0,1858875;0,220525;0,29395;0,260175;0,289775;0,2648625;0,2447125;0,3041625;0,10905;0,1022;0,2293125
Кам'янське;4853460;Дiоксид сiрки;0,005675;0,004775;0,003975;0,0048625;0,0048;0,0046;0,0073375;0,0047875;0,004;0,0058125;0,0049375;0,0073375;0,0064875;0,006125;0,0065125;0,0063125;0,0068875;0,007075;0,0074125;0,0099;0,0089875;0,0086;0,00805;0,0095375;0,00905;0,0063125;0,00915
Кам'янське;4853460;Оксид вуглецю;3,75;3,875;3,875;3,75;3,375;3,375;3,25;3,625;3,625;3,375;3,875;3,375;3,625;3,75;3,75;3,75;3,75;4;3,75;3,375;3,25;3,5;3,375;3,5;3,625;3,5;3,75
Кам'янське;4853460;Дiоксид азоту;0,11346875;0,10746875;0,1197125;0,1296875;0,196908333;0,14645;0,11466875;0,13823125;0,13065;0,13066875;0,129116667;0,138575;0,11839375;0,102975;0,11365625;0,131425;0,170883333;0,11605625;0,1248625;0,1257125;0,114;0,10154375;0,12185;0,13619375;0,13160625;0,10351875;0,119425
